dataset,missingness,method,W_train,W_test,R2_real,R2_fake,R2_comb,F1_real,F1_fake,F1_comb,coverage_train,coverage_test,percent_bias,coverage_rate,AW,class_score,time,R2_lin_real,R2_lin_fake,R2_lin_comb,F1_lin_real,F1_lin_fake,F1_lin_comb,R2_linboost_real,R2_linboost_fake,R2_linboost_comb,F1_linboost_real,F1_linboost_fake,F1_linboost_comb,R2_tree_real,R2_tree_fake,R2_tree_comb,F1_tree_real,F1_tree_fake,F1_tree_comb,R2_treeboost_real,R2_treeboost_fake,R2_treeboost_comb,F1_treeboost_real,F1_treeboost_fake,F1_treeboost_comb
breast_cancer_diagnostic,MCAR(0.2 MissForest),CopulaGAN,5.343518674,5.449254899,0,0,0,0.9613779549,0.4719650222,0.9299235225,0,0,0,0,0,0.8270253269,14.75498692,0,0,0,0.9653953526,0.4194567629,0.8690622838,0,0,0,0.9557957103,0.5137140344,0.9386897833,0,0,0,0.9559334667,0.4545240028,0.9532682835,0,0,0,0.9683872901,0.5001652886,0.9586737394
breast_cancer_diagnostic,MCAR(0.2 MissForest),CTABGAN,2.303726045,2.442869279,0,0,0,0.9613779549,0.7854895823,0.9528841444,0.09597069597,0.3649122807,0,0,0,0.4833061319,4.128463904,0,0,0,0.9653953526,0.6935772258,0.9535827402,0,0,0,0.9557957103,0.7591459145,0.94456572,0,0,0,0.9559334667,0.8607377097,0.9583384869,0,0,0,0.9683872901,0.8284974793,0.9550496304
breast_cancer_diagnostic,MCAR(0.2 MissForest),stasy,2.207062479,2.441818204,0,0,0,0.9613779549,0.9163567932,0.9538357868,0.3648351648,0.7105263158,0,0,0,4.32E-01,153.0353624,0,0,0,0.9653953526,0.9163514339,0.947331439,0,0,0,0.9557957103,0.906152285,0.9535554291,0,0,0,0.9559334667,0.929052904,0.9556304596,0,0,0,0.9683872901,0.9138705501,0.9588258194
breast_cancer_diagnostic,MCAR(0.2 MissForest),TabDDPM,2.459952849,2.874887388,0,0,0,0.9613779549,0.9443311588,0.957544547,0.9305494505,0.9573099415,0,0,0,0.3660321599,118.1413623,0,0,0,0.9653953526,0.9271319965,0.9569226809,0,0,0,0.9557957103,0.9487738431,0.958268897,0,0,0,0.9559334667,0.9523864852,0.9596635179,0,0,0,0.9683872901,0.9490323106,0.9553230922
connectionist_bench_vowel,MCAR(0.2 MissForest),oracle,0,0.6725393433,0,0,0,0.6504474126,0.6504474126,0.6570866305,1,0.9663299663,0,0,0,0.8325814474,7.87E-05,0,0,0,0.6731765241,0.6731765241,0.6716818249,0,0,0,0.0767009015,0.0767009015,0.08452379347,0,0,0,0.9569156874,0.9569156874,0.9670677275,0,0,0,0.8949965374,0.8949965374,0.9050731759
connectionist_bench_vowel,MCAR(0.2 MissForest),CTGAN,1.781420214,1.822010622,0,0,0,0.6504474126,0.06674548918,0.6620771544,0.005808080808,0.12996633,0,0,0,0.4733005302,8.960429668,0,0,0,0.6731765241,0.05966005864,0.4098698963,0,0,0,0.0767009015,0.07718839,0.3635618089,0,0,0,0.9569156874,0.0584536877,0.957468558,0,0,0,0.8949965374,0.07167982039,0.9174083543
connectionist_bench_vowel,MCAR(0.2 MissForest),GaussianCopula,1.396581883,1.476385849,0,0,0,0.6504474126,0.08723222867,0.6654998728,0.008838383838,0.1956228956,0,0,0,0.6772029512,1.57577618,0,0,0,0.6731765241,0.06758414774,0.4217524694,0,0,0,0.0767009015,0.08686751694,0.3522978128,0,0,0,0.9569156874,0.08974011582,0.966016987,0,0,0,0.8949965374,0.1047371342,0.9219322222
connectionist_bench_vowel,MCAR(0.2 MissForest),TVAE,1.021887059,1.111668272,0,0,0,0.6504474126,0.3536471338,0.6838138807,0.05042087542,0.5986531987,0,0,0,0.4199563708,7.387455225,0,0,0,0.6731765241,0.4435102217,0.6125085741,0,0,0,0.0767009015,0.1515696072,0.2901592612,0,0,0,0.9569156874,0.4166645337,0.9423174027,0,0,0,0.8949965374,0.4028441723,0.8902702849
connectionist_bench_vowel,MCAR(0.2 MissForest),CopulaGAN,1.873061084,1.933307703,0,0,0,0.6504474126,0.06189012564,0.6511818692,0.002609427609,0.05656565657,0,0,0,0.6907510676,8.535598993,0,0,0,0.6731765241,0.0503375495,0.3997642488,0,0,0,0.0767009015,0.07706916225,0.3194580605,0,0,0,0.9569156874,0.05467577117,0.9614399724,0,0,0,0.8949965374,0.06547801964,0.924065195
connectionist_bench_vowel,MCAR(0.2 MissForest),CTABGAN,1.383062651,1.438150185,0,0,0,0.6504474126,0.08904563192,0.6484746739,0.009595959596,0.2572390572,0,0,0,4.81E-01,3.737018903,0,0,0,0.6731765241,0.08146145248,0.4109690179,0,0,0,0.0767009015,0.08881616508,0.3086639717,0,0,0,0.9569156874,0.08746915255,0.9601991759,0,0,0,0.8949965374,0.09843575759,0.9140665299
connectionist_bench_vowel,MCAR(0.2 MissForest),stasy,1.009190318,1.106217157,0,0,0,0.6504474126,0.3933099803,0.6782016176,0.06355218855,0.6494949495,0,0,0,0.4233276128,198.0751919,0,0,0,0.6731765241,0.4431165976,0.588973113,0,0,0,0.0767009015,0.2149350828,0.2871807677,0,0,0,0.9569156874,0.4475227474,0.9342046621,0,0,0,0.8949965374,0.4676654936,0.9024479277
connectionist_bench_vowel,MCAR(0.2 MissForest),TabDDPM,0.3995794988,0.722533056,0,0,0,0.6504474126,0.6166180199,0.6737611531,0.8452020202,0.9259259259,0,0,0,0.3548729657,118.2966047,0,0,0,0.6731765241,0.6413521347,0.6630225903,0,0,0,0.0767009015,0.1327235334,0.1612438342,0,0,0,0.9569156874,0.8755697942,0.9559400138,0,0,0,0.8949965374,0.8168266172,0.9148381742
concrete_slump,MCAR(0.2 MissForest),oracle,0,1.100286331,0.8254924131,0.8254924131,0.831996925,0,0,0,1,0.9047619048,1.19E-15,1,39.54023043,0.8348405195,3.51E-05,0.8461201115,0.8461201115,0.8461201115,0,0,0,0.8023021994,0.8023021994,0.8047058459,0,0,0,0.8057604675,0.8057604675,0.8293527123,0,0,0,0.8477868741,0.8477868741,0.8478090302,0,0,0
concrete_slump,MCAR(0.2 MissForest),CTGAN,1.583653261,1.741513954,0.8254924131,-0.6001114596,0.52902217,0,0,0,0.09918699187,0.5968253968,138.638137,0.2666666667,9.902818979,0.4514681434,3.936984539,0.8461201115,-0.4948862453,0.4586006802,0,0,0,0.8023021994,-0.5449999548,0.3873622878,0,0,0,0.8057604675,-0.3978666379,0.6732759305,0,0,0,0.8477868741,-0.9626930006,0.5968497816,0,0,0
concrete_slump,MCAR(0.2 MissForest),GaussianCopula,1.248528767,1.531862454,0.8254924131,-177585245279,0.7513038992,0,0,0,0.2292682927,0.6698412698,10126899.07,0.6583333333,2085806.051,0.6929891826,0.5596556664,0.8461201115,-710340981115,0.7577495448,0,0,0,0.8023021994,0.2619629072,0.6674085705,0,0,0,0.8057604675,0.270792347,0.7893258097,0,0,0,0.8477868741,0.1360766652,0.7907316721,0,0,0
concrete_slump,MCAR(0.2 MissForest),TVAE,1.113474464,1.434609001,0.8254924131,0.072091821,0.6791620901,0,0,0,0.3471544715,0.7333333333,106.1838489,0.3416666667,9.905259056,0.4304197253,2.4510204,0.8461201115,0.178657918,0.6590186611,0,0,0,0.8023021994,0.09361100681,0.6162324031,0,0,0,0.8057604675,0.1111130522,0.7269356895,0,0,0,0.8477868741,-0.09501469304,0.7144616065,0,0,0
concrete_slump,MCAR(0.2 MissForest),CopulaGAN,1.596469735,1.784185297,0.8254924131,-451006511081,0.5275776014,0,0,0,0.06910569106,0.4761904762,24786952.99,0.35,6593324.906,7.07E-01,4.361420234,0.8461201115,-1804026044323,0.4456039842,0,0,0,0.8023021994,-0.4747816668,0.392173281,0,0,0,0.8057604675,-0.3888510231,0.6724194087,0,0,0,0.8477868741,-0.9321323929,0.6001137316,0,0,0
concrete_slump,MCAR(0.2 MissForest),CTABGAN,1.345524656,1.600387749,0.8254924131,0.1317972798,0.8078441009,0,0,0,0.1926829268,0.4920634921,62.89149929,0.725,14.03593676,0.4929688418,1.808932861,0.8461201115,0.3975652124,0.8378843099,0,0,0,0.8023021994,0.0597680074,0.7797177511,0,0,0,0.8057604675,0.0551799685,0.8014491991,0,0,0,0.8477868741,0.01467593083,0.8123251435,0,0,0
concrete_slump,MCAR(0.2 MissForest),stasy,1.082889532,1.398930759,0.8254924131,0.5931289869,0.8319072688,0,0,0,0.4991869919,0.7746031746,64.81780883,0.625,12.41665151,0.4281667351,101.7782643,0.8461201115,0.6067293522,0.8059246018,0,0,0,0.8023021994,0.6145356217,0.7965703586,0,0,0,0.8057604675,0.6188044982,0.854383624,0,0,0,0.8477868741,0.5324464753,0.8707504907,0,0,0
concrete_slump,MCAR(0.2 MissForest),TabDDPM,0.5661848133,1.19853307,0.8254924131,0.6540038365,0.8085281728,0,0,0,0.856097561,0.8634920635,51.56371665,0.6666666667,12.12851207,0.344363929,110.6995637,0.8461201115,0.7830860237,0.8283379929,0,0,0,0.8023021994,0.6698403118,0.7926406566,0,0,0,0.8057604675,0.6471720501,0.8105099273,0,0,0,0.8477868741,0.5159169603,0.8026241142,0,0,0
wine_quality_red,MCAR(0.2 MissForest),oracle,0,0.5043086342,0.3475731869,0.3475731869,0.3473537676,0,0,0,0.9958300756,0.98125,8.96E-16,1,11.17769726,0.8333048593,0.0001678466797,0.3220754354,0.3220754354,0.3220754354,0,0,0,0.3179794107,0.3179794107,0.3148957201,0,0,0,0.4248786184,0.4248786184,0.4234060126,0,0,0,0.3253592829,0.3253592829,0.3290379022,0,0,0
wine_quality_red,MCAR(0.2 MissForest),CTGAN,1.029054206,1.074331483,0.3475731869,-0.1427623812,0.3242906356,0,0,0,0.1050820954,0.3041666667,95.85090696,0.3090909091,5.315402199,0.4694803818,12.30325961,0.3220754354,-0.04522064291,0.2701867362,0,0,0,0.3179794107,-0.1361872955,0.2405301799,0,0,0,0.4248786184,-0.07533463995,0.4376847357,0,0,0,0.3253592829,-0.3143069466,0.3487608904,0,0,0
wine_quality_red,MCAR(0.2 MissForest),GaussianCopula,0.7359079766,0.7993215239,0.3475731869,0.2134676117,0.3454589625,0,0,0,0.2967943706,0.56625,117.8586336,0.5090909091,8.780519084,0.561408044,1.846330404,0.3220754354,0.3016463417,0.3175398026,0,0,0,0.3179794107,0.270487282,0.305021473,0,0,0,0.4248786184,0.2373199303,0.4335457878,0,0,0,0.3253592829,0.04441689284,0.3257287867,0,0,0
wine_quality_red,MCAR(0.2 MissForest),TVAE,0.5133704018,0.5633707767,0.3475731869,0.2420014687,0.3588926528,0,0,0,0.6390930414,0.916875,2.04E+02,0.2787878788,7.94552913,4.51E-01,12.07624555,0.3220754354,0.2805681575,0.3169633527,0,0,0,0.3179794107,0.2161134971,0.3165107762,0,0,0,0.4248786184,0.2729729337,0.4372697712,0,0,0,0.3253592829,0.1983512864,0.3648267112,0,0,0
wine_quality_red,MCAR(0.2 MissForest),CopulaGAN,1.120066201,1.172468463,0.3475731869,-1.98E-01,0.3250196337,0,0,0,0.08459734167,0.24125,103.0846334,0.2303030303,4.140770594,0.5787097574,11.95813704,3.22E-01,-0.1030412976,0.2623111564,0,0,0,0.3179794107,-0.1711701293,0.2704599016,0,0,0,0.4248786184,-0.1289644649,0.4325071793,0,0,0,0.3253592829,-0.3896356801,0.3348002978,0,0,0
wine_quality_red,MCAR(0.2 MissForest),CTABGAN,0.6331058488,0.6801284035,0.3475731869,0.02803235231,0.3273878162,0,0,0,0.3694031796,0.6939583333,196.5841448,0.4363636364,11.84665774,0.4621794197,7.462456783,0.3220754354,0.1480985159,0.3072871065,0,0,0,0.3179794107,0.1452993777,0.2739575784,0,0,0,0.4248786184,0.1118085928,0.4179269279,0,0,0,0.3253592829,-0.2930770773,0.3103796517,0,0,0
wine_quality_red,MCAR(0.2 MissForest),stasy,0.6284713004,0.6962518629,0.3475731869,-0.9987700268,0.2620434172,0,0,0,0.4129267657,0.6185416667,112.0412096,0.2848484848,5.387894828,0.4785892699,340.7048353,0.3220754354,-0.7636960184,0.1147663765,0,0,0,0.3179794107,-1.509105363,0.2370870377,0,0,0,0.4248786184,-0.8388964096,0.3481603853,0,0,0,0.3253592829,-0.8833823163,0.3481598691,0,0,0
wine_quality_red,MCAR(0.2 MissForest),TabDDPM,0.3547923708,0.534512438,0.3475731869,0.2397191131,0.3430956554,0,0,0,0.9475110764,0.965625,200.07202,0.5515151515,12.56994005,0.4137328,116.7441487,0.3220754354,0.2656920921,0.3070674085,0,0,0,0.3179794107,0.2476513172,0.3063558499,0,0,0,0.4248786184,0.2841170415,0.4148798521,0,0,0,0.3253592829,0.1614160016,0.3440795112,0,0,0
wine_quality_white,MCAR(0.2 MissForest),oracle,0,0.4338781008,0.3677915875,0.3677915875,0.368465015,0,0,0,0.9856219159,0.9911564626,1.79E-15,1,16.008584,0.8335195898,0.0001564820608,0.2622624323,0.2622624323,0.2622624323,0,0,0,0.2939442049,0.2939442049,0.2897134971,0,0,0,0.4878961919,0.4878961919,0.4948203048,0,0,0,0.4270635209,0.4270635209,0.427063826,0,0,0
wine_quality_white,MCAR(0.2 MissForest),CTGAN,0.7364943916,0.7714375991,0.3677915875,-0.09069210268,0.317363514,0,0,0,0.236413136,0.4982993197,163.5883033,0.2166666667,3.507166321,0.4566947038,37.35202861,0.2622624323,-0.001822347326,0.2055024505,0,0,0,0.2939442049,-0.005636464676,0.1777079018,0,0,0,0.4878961919,-0.04619655475,0.4848041218,0,0,0,0.4270635209,-0.309113044,0.4014395817,0,0,0
wine_quality_white,MCAR(0.2 MissForest),GaussianCopula,0.6843215437,0.727545376,0.3677915875,0.1910904349,0.3572070587,0,0,0,0.3668708525,0.5589795918,1.60E+02,0.1777777778,6.411866954,5.91E-01,3.738716523,0.2622624323,0.2493814214,0.2623158223,0,0,0,0.2939442049,0.2149710861,0.2711272542,0,0,0,0.4878961919,0.2269383224,0.4823532123,0,0,0,0.4270635209,0.07307090981,0.4130319462,0,0,0
wine_quality_white,MCAR(0.2 MissForest),TVAE,0.4925191242,0.5274380793,0.3677915875,0.2340499926,0.3685321836,0,0,0,0.6035732517,0.8504761905,260.868323,0.1388888889,6.078025469,0.4571665708,30.0851895,0.2622624323,0.211371109,0.2632294783,0,0,0,0.2939442049,0.2376357961,0.2862194247,0,0,0,0.4878961919,0.2753833252,0.481197228,0,0,0,0.4270635209,0.2118097402,0.4434826035,0,0,0
wine_quality_white,MCAR(0.2 MissForest),CopulaGAN,0.912534029,0.9398574128,0.3677915875,-0.08827488694,0.3193030292,0,0,0,0.1632635698,0.3363265306,125.289169,0.1277777778,2.305244238,0.6058758552,39.84255576,0.2622624323,-0.0110983247,0.1915195517,0,0,0,0.2939442049,-0.0215511961,0.1998470615,0,0,0,0.4878961919,-0.04736129103,0.4833354905,0,0,0,0.4270635209,-0.2730887359,0.4025100132,0,0,0
wine_quality_white,MCAR(0.2 MissForest),CTABGAN,0.5073742081,0.550163479,0.3677915875,0.1646075716,0.3538318059,0,0,0,0.5649991492,0.8323129252,410.6895118,0.2555555556,8.35306127,0.4466148451,26.06612953,0.2622624323,0.1966752606,0.2600230813,0,0,0,0.2939442049,0.2023981358,0.2547013719,0,0,0,0.4878961919,0.2321486129,0.4863284071,0,0,0,0.4270635209,0.02720827716,0.4142743631,0,0,0
wine_quality_white,MCAR(0.2 MissForest),stasy,0.4900834433,0.5458994288,0.3677915875,-0.07833240029,0.3499615735,0,0,0,0.6690148035,0.8634693878,174.8983086,0.3333333333,9.416292696,0.4465233466,829.6917235,0.2622624323,0.0922043888,0.2284558196,0,0,0,0.2939442049,-0.5836166682,0.2637217988,0,0,0,0.4878961919,0.1189231322,0.4822165731,0,0,0,0.4270635209,0.05915954603,0.4254521026,0,0,0
wine_quality_white,MCAR(0.2 MissForest),TabDDPM,0.3476739009,0.4530162232,0.3677915875,0.2508347544,0.3628539021,0,0,0,0.9426067722,0.9774829932,233.640199,0.5,16.81433883,0.4106855677,121.1999653,0.2622624323,0.2481488584,0.2606146556,0,0,0,0.2939442049,0.243682415,0.2897097516,0,0,0,0.4878961919,0.3205932749,0.4831264522,0,0,0,0.4270635209,0.1909144695,0.417964749,0,0,0
tictactoe,MCAR(0.2 MissForest),oracle,0,2.033511155,0,0,0,0.8996244339,0.8996244339,0.9049324101,1,0.1440972222,0,0,0,0.8344014205,6.81E-05,0,0,0,0.9787439883,0.9787439883,0.9787439883,0,0,0,0.7195647636,0.7195647636,0.7195647636,0,0,0,0.9097889033,0.9097889033,0.9386755051,0,0,0,0.9904000804,0.9904000804,0.9827453833
tictactoe,MCAR(0.2 MissForest),CTGAN,1.884942023,2.318163109,0,0,0,0.8996244339,0.448517272,0.6846312396,0.4279373368,0.4930555556,0.00E+00,0,0,0.3796524249,7.615313689,0,0,0,0.9787439883,0.4082645955,0.5930292474,0,0,0,0.7195647636,0.4081761979,0.5964117919,0,0,0,0.9097889033,0.4731230114,0.7416556375,0,0,0,0.9904000804,0.5045052832,0.8074282815
tictactoe,MCAR(0.2 MissForest),GaussianCopula,1.851169707,2.314458873,0,0,0,0.8996244339,0.5326495729,0.7223657607,0.4427328111,0.5208333333,0,0,0,0.3755195021,0.8916520278,0,0,0,0.9787439883,0.5327965387,0.6473234709,0,0,0,0.7195647636,0.5312186852,0.6409893959,0,0,0,0.9097889033,0.5345310561,0.7745936708,0,0,0,0.9904000804,0.5320520115,0.8265565051
tictactoe,MCAR(0.2 MissForest),TVAE,1.523299134,2.070846424,0,0,0,0.8996244339,0.6279035679,0.7419962787,0.6100957354,0.5673611111,0,0,0,0.4074460917,2.872447173,0,0,0,0.9787439883,0.6229890234,0.6817435109,0,0,0,0.7195647636,0.6254407891,0.6583590323,0,0,0,0.9097889033,0.6270769811,0.7856128157,0,0,0,0.9904000804,0.636107478,0.8422697558
tictactoe,MCAR(0.2 MissForest),CopulaGAN,1.884942023,2.318163109,0,0,0,0.8996244339,0.448517272,0.6846312396,0.4279373368,0.4930555556,0,0,0,0.3796524249,4.982444843,0,0,0,0.9787439883,0.4082645955,0.5930292474,0,0,0,0.7195647636,0.4081761979,0.5964117919,0,0,0,0.9097889033,0.4731230114,0.7416556375,0,0,0,0.9904000804,0.5045052832,0.8074282815
tictactoe,MCAR(0.2 MissForest),CTABGAN,1.903918937,2.362989448,0,0,0,0.8996244339,0.4585979535,0.7023403019,0.4238468233,0.4802083333,0,0,0,0.3945908487,4.106386344,0,0,0,0.9787439883,0.4246224764,0.6203223308,0,0,0,0.7195647636,0.4267526275,0.6204502572,0,0,0,0.9097889033,0.4763259601,0.7532332948,0,0,0,0.9904000804,0.5066907502,0.8153553246
tictactoe,MCAR(0.2 MissForest),stasy,1.807667973,2.286731511,0,0,0,0.8996244339,0.5860993737,0.7480706782,0.5169712794,0.5454861111,0,0,0,0.4013638499,194.8147291,0,0,0,0.9787439883,0.597377351,0.6951861393,0,0,0,0.7195647636,0.5977932639,0.6713190052,0,0,0,0.9097889033,0.5677603488,0.786702782,0,0,0,0.9904000804,0.5814665313,0.8390747863
tictactoe,MCAR(0.2 MissForest),TabDDPM,1.212898347,2.01763224,0,0,0,0.8996244339,0.7700882111,0.8629634481,0.7088772846,0.4572916667,0,0,0,0.3696340809,300.1118374,0,0,0,0.9787439883,0.7340751573,0.8805413045,0,0,0,0.7195647636,0.6791210643,0.7046791636,0,0,0,0.9097889033,0.8057167272,0.9049694884,0,0,0,0.9904000804,0.8614398957,0.9616638359
congress,MCAR(0.2 MissForest),oracle,0,2.399776232,0,0,0,0.9466191907,0.9466191907,0.9468858772,0.9932950192,0.9310344828,0.00E+00,0,0,0.8322266662,5.30E-05,0,0,0,0.9278383913,0.9278383913,0.9278383913,0,0,0,0.95171629,0.95171629,0.95171629,0,0,0,0.9510797494,0.9510797494,0.9517972123,0,0,0,0.955842332,0.955842332,0.9561916151
congress,MCAR(0.2 MissForest),CTGAN,4.761148754,5.221799266,0,0,0,0.9466191907,0.6197468127,0.9200325785,0.2024904215,0.2475095785,0,0,0,0.4292333302,6.051335494,0,0,0,0.9278383913,0.6630871392,0.914348222,0,0,0,0.95171629,0.6535616114,0.913847765,0,0,0,0.9510797494,0.5878285485,0.9367354815,0,0,0,0.955842332,0.5745099518,0.9151988457
congress,MCAR(0.2 MissForest),GaussianCopula,4.092273112,4.597145668,0,0,0,0.9466191907,0.8511139125,0.9267331828,0.3383141762,0.4413793103,0,0,0,0.4130887249,1.025700569,0,0,0,0.9278383913,0.8870569253,0.9246962148,0,0,0,0.95171629,0.886795304,0.9240240892,0,0,0,0.9510797494,0.8504181991,0.9363082988,0,0,0,0.955842332,0.7801852215,0.9219041284
congress,MCAR(0.2 MissForest),TVAE,2.614517224,2.864284178,0,0,0,0.9466191907,0.8760013937,0.9367754041,0.5444444444,0.6651340996,0,0,0,0.4741107392,1.773781697,0,0,0,0.9278383913,0.8439159703,0.9334090708,0,0,0,0.95171629,0.8380403178,0.9275830847,0,0,0,0.9510797494,0.9142838085,0.9441510611,0,0,0,0.955842332,0.9077654781,0.9419583997
congress,MCAR(0.2 MissForest),CopulaGAN,4.761148754,5.221799266,0,0,0,0.9466191907,0.6197468127,0.9200325785,0.2024904215,0.2475095785,0,0,0,0.4292333302,6.065039873,0,0,0,0.9278383913,0.6630871392,0.914348222,0,0,0,0.95171629,0.6535616114,0.913847765,0,0,0,0.9510797494,0.5878285485,0.9367354815,0,0,0,0.955842332,0.5745099518,0.9151988457
congress,MCAR(0.2 MissForest),CTABGAN,4.936854439,5.273994758,0,0,0,0.9466191907,0.4324846632,0.9274053464,0.2908045977,0.3478927203,0,0,0,0.4364872509,5.597718557,0,0,0,0.9278383913,0.4384829492,0.928135764,0,0,0,0.95171629,0.442257215,0.9274780466,0,0,0,0.9510797494,0.4043025664,0.9328692809,0,0,0,0.955842332,0.4448959222,0.9211382942
congress,MCAR(0.2 MissForest),stasy,3.178264453,3.75048643,0,0,0,0.9466191907,0.925348797,0.9412872046,0.6111111111,0.7111111111,0,0,0,0.3942105927,137.4999623,0,0,0,0.9278383913,0.9296139298,0.9412295297,0,0,0,0.95171629,0.9302152759,0.9348952966,0,0,0,0.9510797494,0.927940073,0.9494222455,0,0,0,0.955842332,0.9136259095,0.9396017468
congress,MCAR(0.2 MissForest),TabDDPM,1.482044848,2.453234533,0,0,0,0.9466191907,0.9423278377,0.942454978,0.8040229885,0.7670498084,0,0,0,0.3829818183,377.2646759,0,0,0,0.9278383913,0.9409924316,0.9299303795,0,0,0,0.95171629,0.9458213508,0.943414274,0,0,0,0.9510797494,0.94000461,0.948360829,0,0,0,0.955842332,0.9424929585,0.9481144295
car,MCAR(0.2 MissForest),oracle,0,1.101833408,0,0,0,0.7444092371,0.7444092371,0.742508067,1,0.3285163776,0,0,0,0.8337711006,6.87E-05,0,0,0,0.8649293999,0.8649293999,0.8649293999,0,0,0,0.5903696489,0.5903696489,0.5903696489,0,0,0,0.6097108019,0.6097108019,0.5914898281,0,0,0,0.9126270976,0.9126270976,0.923243391
car,MCAR(0.2 MissForest),CTGAN,0.9662921462,1.270133713,0,0,0,0.7444092371,0.2407864737,0.3527087175,0.3094548963,0.5213872832,0,0,0,0.380122908,11.57532374,0,0,0,0.8649293999,0.2248619505,0.3219266308,0,0,0,0.5903696489,0.2222206354,0.288544036,0,0,0,0.6097108019,0.2531108745,0.3381122897,0,0,0,0.9126270976,0.2629524345,0.4622519135
car,MCAR(0.2 MissForest),GaussianCopula,0.8644766589,1.257460348,0,0,0,0.7444092371,0.2610723304,0.3866357068,0.3089725036,0.5294797688,0,0,0,0.342663661,0.6990725994,0,0,0,0.8649293999,0.2496810589,0.3802850701,0,0,0,0.5903696489,0.2502585267,0.3735140361,0,0,0,0.6097108019,0.2730195502,0.3408568665,0,0,0,0.9126270976,0.2713301858,0.4518868545
car,MCAR(0.2 MissForest),TVAE,0.7084514575,1.118321229,0,0,0,0.7444092371,0.4821157871,0.6114382641,0.4131693198,0.5493256262,0,0,0,0.3565406032,4.027417898,0,0,0,0.8649293999,0.5026358908,0.6810805647,0,0,0,0.5903696489,0.4831649061,0.5917593902,0,0,0,0.6097108019,0.4550257198,0.5110976545,0,0,0,0.9126270976,0.4876366317,0.6618154471
car,MCAR(0.2 MissForest),CopulaGAN,0.9662921462,1.270133713,0,0,0,0.7444092371,0.2407864737,0.3527087175,0.3094548963,0.5213872832,0,0,0,0.380122908,8.846918344,0,0,0,0.8649293999,0.2248619505,0.3219266308,0,0,0,0.5903696489,0.2222206354,0.288544036,0,0,0,0.6097108019,0.2531108745,0.3381122897,0,0,0,0.9126270976,0.2629524345,0.4622519135
car,MCAR(0.2 MissForest),CTABGAN,0.7424882265,1.129101861,0,0,0,0.7444092371,0.3749531856,0.4343875759,0.377761698,0.5820809249,0,0,0,0.3440815993,7.661606232,0,0,0,0.8649293999,0.3815780855,0.4213219083,0,0,0,0.5903696489,0.3790446443,0.4130100701,0,0,0,0.6097108019,0.3700898811,0.4132835662,0,0,0,0.9126270976,0.3691001314,0.4899347591
car,MCAR(0.2 MissForest),stasy,0.9057989946,1.192668846,0,0,0,0.7444092371,0.4687620338,0.6020085713,0.3824891462,0.5670520231,0,0,0,0.3837004317,346.3307944,0,0,0,0.8649293999,0.5436675059,0.6921099162,0,0,0,0.5903696489,0.4901822999,0.6186196249,0,0,0,0.6097108019,0.4031693571,0.4830353867,0,0,0,0.9126270976,0.4380289722,0.6142693572
car,MCAR(0.2 MissForest),TabDDPM,0.7696653553,1.200566285,0,0,0,0.7444092371,0.6668785282,0.7489368886,0.3268692716,0.3753371869,0,0,0,0.3813506771,288.1065786,0,0,0,0.8649293999,0.8204656326,0.8571352139,0,0,0,0.5903696489,0.5020549508,0.5925695154,0,0,0,0.6097108019,0.5818793862,0.6354016121,0,0,0,0.9126270976,0.763114143,0.9106412128
california,MCAR(0.2 MissForest),oracle,0,0,0.6559524382,0.6559524382,0.6605956374,0,0,0,1,0.9628552972,9.59E-16,1,0.3477156137,0.8334454317,0.0007090568542,0.5974351433,0.5974351433,0.5974351433,0,0,0,0.3911435852,0.3911435852,0.411008101,0,0,0,0.804350173,0.804350173,0.8024105089,0,0,0,0.8308808513,0.8308808513,0.8315287965,0,0,0
california,MCAR(0.2 MissForest),CTGAN,0,0,0.6559524382,-0.1749966946,0.6129061194,0,0,0,0.2613937339,0.5733850129,866.5423328,0.02962962963,0.3030894776,0.442593417,140.6317995,0.5974351433,-1.699683626,0.522328471,0,0,0,0.3911435852,0.2756118438,0.3730044972,0,0,0,0.804350173,0.4082993117,0.7698965622,0,0,0,0.8308808513,0.3157856924,0.7863949472,0,0,0
california,MCAR(0.2 MissForest),GaussianCopula,0,0,0.6559524382,-0.645239765,0.6389654326,0,0,0,0.1206193475,0.3444282946,722.7898714,0,0.1459850223,0.441034612,6.509435813,0.5974351433,-4.187882332,0.5600903435,0,0,0,0.3911435852,0.4308454296,0.4392566248,0,0,0,0.804350173,0.5965959114,0.7622463366,0,0,0,0.8308808513,0.5794819314,0.7942684255,0,0,0
california,MCAR(0.2 MissForest),TVAE,0,0,0.6559524382,-5.409965872,0.6387640221,0,0,0,0.4276728036,0.7802002584,1542.50573,0.08148148148,0.2457045748,0.4395325741,95.66072631,0.5974351433,-23.44341131,0.5752566297,0,0,0,0.3911435852,0.5066182413,0.4201521731,0,0,0,0.804350173,0.6567052091,0.7665188989,0,0,0,0.8308808513,0.6402243712,0.7931283868,0,0,0
california,MCAR(0.2 MissForest),CopulaGAN,0,0,0.6559524382,0.0159545315,0.6119067088,0,0,0,0.2272488695,0.5113210594,307.9794865,0.03703703704,0.2987833386,0.4444266315,133.763653,0.5974351433,-0.4439395085,0.5192819526,0,0,0,0.3911435852,0.1210415407,0.3637710006,0,0,0,0.804350173,0.2340741815,0.7805434794,0,0,0,0.8308808513,0.1526419123,0.7840304028,0,0,0
