dataset,missingness,method,MinMAE,AvgMAE,PercentBias,CoverageRate,W_train,W_test,MeanVariance,MeanMAD,MedianMAD,R2_imp,F1_imp,time,R2_lin,F1_lin,R2_linboost,F1_linboost,R2_tree,F1_tree,R2_treeboost,F1_treeboost
concrete_compression,MCAR(0.2),miceforest,0.03412894496,0.07291816039,53.09057557,0.5555555556,0.1130524809,0.5151777798,4.57E-03,2.03E-01,0.1782070647,0.7618999634,0,23.13273422,0.5686170922,0,0.7595641763,0,0.8610939254,0,0.8583246597,0
concrete_compression,MCAR(0.2),ice,0.08685496832,0.2089232678,210.9309515,0.08888888889,0.3151740316,0.6273142527,0.03948282393,0.7785625735,0.7117988364,0.7271781673,0,1.029159307,0.551094271,0,0.6728829257,0,0.8439835441,0,0.8407519284,0
concrete_compression,MCAR(0.2),OT,0.1806828479,0.1842282307,165.7386401,0.1851851852,0.297790347,0.6268151906,2.82E-05,0.01359192256,0.01259395676,0.7381462838,0,65.85384035,0.5361861441,0,0.7241751791,0,0.8586884982,0,0.8335353137,0
concrete_compression,MCAR(0.2),softimpute,0.221078797,0.221078797,106.9919819,0.1851851852,0.3566670201,0.6707171629,1.73E-34,1.56E-16,0,0.7462596484,0,5.063211997,0.533571447,0,0.7535834834,0,0.8498965592,0,0.8479871039,0
concrete_compression,MCAR(0.2),GAIN,0.1435492686,0.1452669297,191.7437971,0.1851851852,0.2341922238,0.5769487974,4.01E-06,7.42E-03,0.006849564443,0.7393815812,0,12.09168164,0.5328608267,0,0.7249500808,0,0.8522979299,0,0.8474174872,0
yacht_hydrodynamics,MCAR(0.2),oracle,0,0,1.87E-15,1,0,0.4997463846,4.49E-34,1.22E-16,0,0.8956182635,0,8.50E-06,0.5993811972,0,0.9897862716,0,0.9970182189,0,0.9962873662,0
yacht_hydrodynamics,MCAR(0.2),KNN(n_neighbors=1),0.1923687264,1.92E-01,178.7292055,0.619047619,0.1829411513,0.5504855239,3.93E-34,1.19E-16,0,0.8785782455,0.00E+00,0.005386511485,0.5986280261,0,0.9644663073,0,0.97847351,0,0.9727451388,0
yacht_hydrodynamics,MCAR(0.2),MissForest,0.05460775547,0.06852580781,57.93836304,1,0.07587029915,0.5090601525,1.41E-03,5.83E-02,0.04835908911,0.893870751,0,1.85E+01,0.5974707326,0,0.9877466295,0,0.9955550526,0,0.9947105892,0
yacht_hydrodynamics,MCAR(0.2),miceforest,0.03534165589,0.08029475951,78.43059542,1,0.07797973842,0.517847945,1.04E-02,2.00E-01,0.1561526385,0.8925996117,0,6.55E+00,0.6022578608,0,0.9863392929,0,0.9928121879,0,0.9889891051,0
yacht_hydrodynamics,MCAR(0.2),ice,0.1165501591,0.2918809333,107.5895994,0.619047619,0.2918804474,0.6270530067,6.76E-02,1.05E+00,0.970203613,0.8665138129,0,0.7734645208,0.6000025778,0,0.9204119587,0,0.9859331801,0,0.959707535,0
yacht_hydrodynamics,MCAR(0.2),OT,0.142103582,0.2138745558,131.1022374,0.6952380952,0.2342010377,0.5823969047,1.32E-02,3.67E-01,0.3376631658,0.884656005,0,338.1429089,0.5989445207,0,0.9770858644,0,0.9886251049,0,0.9739685301,0
yacht_hydrodynamics,MCAR(0.2),softimpute,0.370344387,0.370344387,92.86462614,0.5714285714,0.4212783369,0.7540672347,3.05E-34,1.18E-16,0,0.8489516244,0,1.872786204,0.554349984,0,0.9003295146,0,0.9657167592,0,0.9754102396,0
yacht_hydrodynamics,MCAR(0.2),GAIN,0.1692101475,0.1722683814,115.2562621,0.8095238095,0.1967491201,0.5546468964,1.10E-05,0.01176246833,0.01081487577,0.8951464764,0,10.67877316,0.6068182786,0,0.9871342696,0,0.9947804503,0,0.9918529072,0
airfoil_self_noise,MCAR(0.2),oracle,0,0,9.38E-16,1,0,0.2413096733,4.68E-34,1.79E-16,0,0.7624965712,0,8.19E-06,0.5087932287,0,0.6605055143,0,0.9329225501,0,0.9477649919,0
airfoil_self_noise,MCAR(0.2),KNN(n_neighbors=1),0.2139026044,0.2139026025,14.38833601,0.3333333333,0.1250056438,0.2851235268,5.50E-34,1.82E-16,0,0.6938867421,0,0.03072977066,0.4972749711,0,0.5889092147,0,0.8433409986,0,0.8460217842,0
airfoil_self_noise,MCAR(0.2),MissForest,0.06406309405,0.08397960876,4.933121136,0.9444444444,0.07369378732,0.2603192401,1.61E-03,7.73E-02,0.06715625898,0.7277582373,0,27.67350141,0.5071913433,0,0.6136625126,0,0.8882584132,0,0.9019206799,0
airfoil_self_noise,MCAR(0.2),miceforest,0.03445298828,1.04E-01,3.123009253,0.9888888889,0.06777600151,0.2491333449,1.48E-02,3.07E-01,0.2608751447,0.7083641054,0.00E+00,17.40709408,0.507385768,0,0.6169083049,0,0.8633103259,0,0.8458520227,0
airfoil_self_noise,MCAR(0.2),ice,0.08881533079,0.2381993993,14.00073015,0.5333333333,0.1584364066,0.3051372609,4.34E-02,7.93E-01,0.7240626051,0.6714936959,0,7.47E-01,0.4983169341,0,0.5375116057,0,0.8197309411,0,0.8304153028,0
airfoil_self_noise,MCAR(0.2),OT,0.1864403537,0.3057859576,22.66677767,0.2666666667,0.267780806,0.3906459875,5.12E-02,6.39E-01,0.5603612517,0.6624681476,0,6.81E+01,0.4574247911,0,0.4881996947,0,0.8411264587,0,0.863121646,0
airfoil_self_noise,MCAR(0.2),softimpute,0.2934196915,0.2934196915,29.73292588,0.1111111111,0.2862920816,0.3829612051,3.10E-35,1.53E-16,0,0.6366698071,0,4.463773966,0.4365889042,0,0.4835723717,0,0.8109992616,0,0.815518691,0
airfoil_self_noise,MCAR(0.2),GAIN,0.1900851462,0.192494531,9.916868383,0.7777777778,0.1917311818,0.3218992571,6.57E-06,9.35E-03,0.008643572955,0.6975999011,0,9.69070069,0.4968577943,0,0.5964075988,0,0.8386962587,0,0.8584379526,0
connectionist_bench_sonar,MCAR(0.2),oracle,0,0,0,0,0,8.528049775,5.38E-34,1.62E-16,0,0,0.8203080724,5.17E-06,0,0.7193842323,0,0.8401233699,0,0.8329529656,0,0.8887717218
connectionist_bench_sonar,MCAR(0.2),KNN(n_neighbors=1),0.1248639843,0.1248639843,0,0,1.500030279,8.55221824,4.22E-34,1.56E-16,0,0,0.7836216168,0.03019444148,0,0.7354830355,0,0.7842062123,0,0.8160206611,0,0.7987765583
